D1     D2    t  X1  X2
0.14437 0.35704 0.45546 0 0
0.13454 0.33606 0.45646 0 0
0.12694 0.31059 0.45746 0 0
0.12313 0.28305 0.45846 0 0
0.1246 0.25604 0.45946 0 0
0.13257 0.23208 0.46046 0 0
0.14787 0.21332 0.46146 0 0
0.17082 0.20132 0.46246 0 0
0.20113 0.19691 0.46346 0 0
0.23791 0.20011 0.46446 0 0
0.27971 0.21015 0.46547 0 0
0.32456 0.22562 0.46647 0 0
0.37017 0.24464 0.46747 0 0
0.41407 0.26511 0.46847 0 0
0.45383 0.28491 0.46947 0 0
0.48722 0.30224 0.47047 0 0
0.51241 0.3157 0.47147 0 0
0.52811 0.32452 0.47247 0 0
0.53366 0.32854 0.47347 0 0
0.52907 0.32825 0.47447 0 0
0.51501 0.32462 0.47548 0 0
0.49273 0.31898 0.47648 0 0
0.46395 0.31283 0.47748 0 0
0.43067 0.30757 0.47848 0 0
0.39506 0.30438 0.47948 0 0
0.35925 0.30399 0.48048 0 0
0.32517 0.30662 0.48148 0 0
0.29444 0.31194 0.48248 0 0
0.26827 0.3191 0.48348 0 0
0.24745 0.32684 0.48448 0 0
0.23231 0.33365 0.48549 0 0
0.22279 0.33793 0.48649 0 0
0.21858 0.33824 0.48749 0 0
0.21913 0.33342 0.48849 0 0
0.22387 0.3228 0.48949 0 0
0.23227 0.30624 0.49049 0 0
0.244 0.28424 0.49149 0 0
0.2589 0.25784 0.49249 0 0
0.27713 0.22858 0.49349 0 0
0.29908 0.19837 0.49449 0 0
0.32531 0.16925 0.4955 0 0
0.35652 0.1433 0.4965 0 0
0.39333 0.12234 0.4975 0 0
0.43622 0.10785 0.4985 0 0
0.48533 0.10079 0.4995 0 0
0.54035 0.1015 0.5005 0 0
0.60045 0.10973 0.5015 0 0
0.66416 0.1246 0.5025 0 0
0.72948 0.14473 0.5035 0 0
0.79387 0.16836 0.5045 0 0
0.85441 0.19347 0.50551 0 0
0.90801 0.21801 0.50651 0 0
0.95159 0.24007 0.50751 0 0
0.9824 0.25801 0.50851 0 0
0.99821 0.27065 0.50951 1 0
0.99754 0.27735 0.51051 0 0
0.97989 0.27803 0.51151 0 0
0.94581 0.27324 0.51251 0 0
0.8969 0.26402 0.51351 0 0
0.83581 0.25186 0.51451 0 0
0.76603 0.23856 0.51552 0 0
0.69166 0.226 0.51652 0 0
0.61713 0.21605 0.51752 0 0
0.54684 0.2103 0.51852 0 0
0.48479 0.20999 0.51952 0 0
0.43429 0.21583 0.52052 0 0
0.39769 0.22797 0.52152 0 0
0.37613 0.24594 0.52252 0 0
0.36952 0.2687 0.52352 0 0
0.37654 0.29473 0.52452 0 0
0.39476 0.32217 0.52553 0 0
0.42085 0.34894 0.52653 0 0
0.45098 0.373 0.52753 0 0
0.48106 0.39246 0.52853 0 0
0.50721 0.40577 0.52953 0 0
0.52607 0.41186 0.53053 0 0
0.5351 0.41023 0.53153 0 0
0.53279 0.40095 0.53253 0 0
0.51878 0.38466 0.53353 0 0
0.49386 0.36252 0.53453 0 0
0.45984 0.33603 0.53554 0 0
0.41938 0.30697 0.53654 0 0
0.37566 0.27716 0.53754 0 0
0.33209 0.24838 0.53854 0 0
0.29195 0.22221 0.53954 0 0
0.25812 0.19993 0.54054 0 0
0.23277 0.18245 0.54154 0 0
0.21722 0.17032 0.54254 0 0
0.21183 0.16374 0.54354 0 0
0.21601 0.1626 0.54454 0 0
0.22835 0.16655 0.54555 0 0
0.24673 0.17511 0.54655 0 0
0.26862 0.1877 0.54755 0 0
0.29129 0.2037 0.54855 0 0
0.3121 0.22252 0.54955 0 0
0.32872 0.24356 0.55055 0 0
0.33933 0.26621 0.55155 0 0
0.34278 0.28985 0.55255 0 0
0.33858 0.31375 0.55355 0 0
0.32699 0.3371 0.55455 0 0
0.30887 0.35899 0.55556 0 0
0.28561 0.3784 0.55656 0 0
0.25897 0.39426 0.55756 0 0
0.2309 0.40556 0.55856 0 0
0.2034 0.4114 0.55956 0 0
0.1783 0.41111 0.56056 0 0
0.15723 0.40439 0.56156 0 0
0.14142 0.39136 0.56256 0 0
0.13173 0.37262 0.56356 0 0
0.12854 0.34924 0.56456 0 0
0.13185 0.32271 0.56557 0 0
0.14122 0.29487 0.56657 0 0
0.15591 0.26769 0.56757 0 0
0.17487 0.24311 0.56857 0 0
0.19689 0.2229 0.56957 0 0
0.22063 0.20839 0.57057 0 0
0.24474 0.20041 0.57157 0 0
0.26793 0.19914 0.57257 0 0
0.28904 0.20413 0.57357 0 0
0.30715 0.21435 0.57457 0 0
0.32159 0.22831 0.57558 0 0
0.33204 0.24423 0.57658 0 0
0.33852 0.26028 0.57758 0 0
0.34139 0.2748 0.57858 0 0
0.34136 0.28647 0.57958 0 0
0.33938 0.29454 0.58058 0 0
0.33658 0.29883 0.58158 0 0
0.33417 0.29979 0.58258 0 0
0.33329 0.2984 0.58358 0 0
0.33489 0.29605 0.58458 0 0
0.33959 0.29426 0.58559 0 0
0.3476 0.29451 0.58659 0 0
0.35867 0.29799 0.58759 0 0
0.37203 0.30536 0.58859 0 0
0.3865 0.31667 0.58959 0 0
0.4005 0.33128 0.59059 0 0
0.41229 0.34791 0.59159 0 0
0.42009 0.3648 0.59259 0 0
0.4223 0.37989 0.59359 0 0
0.41771 0.39112 0.59459 0 0
0.40567 0.39671 0.5956 0 0
0.38621 0.3954 0.5966 0 0
0.36009 0.38671 0.5976 0 0
0.32882 0.37102 0.5986 0 0
0.29452 0.34962 0.5996 0 0
0.25979 0.3246 0.6006 0 0
0.22743 0.29862 0.6016 0 0
0.20022 0.2747 0.6026 0 0
0.1806 0.2558 0.6036 0 0
0.17046 0.24453 0.6046 0 0
0.17088 0.24278 0.60561 0 0
0.18204 0.25154 0.60661 0 0
0.20316 0.27067 0.60761 0 0
0.23255 0.29895 0.60861 0 0
0.2678 0.33416 0.60961 0 0
0.30595 0.37331 0.61061 0 0
0.34382 0.41299 0.61161 0 0
0.37829 0.44971 0.61261 0 0
0.40664 0.48035 0.61361 0 0
0.42676 0.50249 0.61461 0 0
0.4374 0.51471 0.61562 0 0
0.43819 0.51681 0.61662 0 0
0.42974 0.50979 0.61762 0 0
0.41346 0.49583 0.61862 0 0
0.39141 0.478 0.61962 0 0
0.36604 0.46002 0.62062 0 0
0.33992 0.44576 0.62162 0 0
0.31544 0.43892 0.62262 0 0
0.29457 0.44254 0.62362 0 0
0.27865 0.45874 0.62462 0 0
0.26826 0.4884 0.62563 0 0
0.26321 0.53114 0.62663 0 0
0.26262 0.58526 0.62763 0 0
0.26503 0.64796 0.62863 0 0
0.26862 0.71554 0.62963 0 0
0.27146 0.78379 0.63063 0 0
0.27178 0.84836 0.63163 0 0
0.26815 0.90514 0.63263 0 0
0.25971 0.95061 0.63363 0 0
0.24624 0.98211 0.63463 0 0
0.22821 0.99806 0.63564 0 1
0.20676 0.99796 0.63664 0 0
0.18352 0.98243 0.63764 0 0
0.16051 0.95305 0.63864 0 0
0.13986 0.91216 0.63964 0 0
0.12365 0.8626 0.64064 0 0
0.11368 0.80745 0.64164 0 0
0.11129 0.74978 0.64264 0 0
0.11729 0.6924 0.64364 0 0
0.13187 0.63768 0.64464 0 0
0.15464 0.58746 0.64565 0 0
0.18466 0.543 0.64665 0 0
0.22062 0.50494 0.64765 0 0
0.26092 0.47342 0.64865 0 0
0.30386 0.44812 0.64965 0 0
0.34778 0.42842 0.65065 0 0
0.39117 0.41343 0.65165 0 0
0.43277 0.40219 0.65265 0 0
0.47164 0.39366 0.65365 0 0
0.50711 0.38685 0.65465 0 0
0.53879 0.38085 0.65566 0 0
0.56651 0.37484 0.65666 0 0
0.59023 0.36812 0.65766 0 0
0.60996 0.36013 0.65866 0 0
0.62573 0.35046 0.65966 0 0
0.63748 0.33884 0.66066 0 0
0.64506 0.3252 0.66166 0 0
0.64824 0.30964 0.66266 0 0
0.64672 0.29246 0.66366 0 0
0.64017 0.27419 0.66466 0 0
0.62832 0.25553 0.66567 0 0
0.61098 0.23733 0.66667 0 0
0.58811 0.22057 0.66767 0 0
0.55991 0.20623 0.66867 0 0
0.52682 0.19524 0.66967 0 0
0.4895 0.18839 0.67067 0 0
0.44891 0.18622 0.67167 0 0
0.4062 0.18896 0.67267 0 0
0.36268 0.19647 0.67367 0 0
0.31981 0.20823 0.67467 0 0
0.27905 0.22335 0.67568 0 0
0.24184 0.24063 0.67668 0 0
0.20951 0.25868 0.67768 0 0
0.1832 0.27597 0.67868 0 0
0.16378 0.29103 0.67968 0 0
0.15183 0.30254 0.68068 0 0
0.14757 0.30947 0.68168 0 0
0.15081 0.31117 0.68268 0 0
0.16097 0.3074 0.68368 0 0
0.1771 0.2984 0.68468 0 0
0.19786 0.28481 0.68569 0 0
0.22162 0.26762 0.68669 0 0
0.24652 0.24809 0.68769 0 0
0.27059 0.2276 0.68869 0 0
0.29186 0.20753 0.68969 0 0
0.30851 0.18913 0.69069 0 0
0.319 0.17343 0.69169 0 0
0.3222 0.16115 0.69269 0 0
0.31753 0.15263 0.69369 0 0
0.30497 0.14788 0.69469 0 0
0.28519 0.14655 0.6957 0 0
0.25944 0.14804 0.6967 0 0
0.22956 0.15154 0.6977 0 0
0.19781 0.15615 0.6987 0 0
0.16671 0.16097 0.6997 0 0
0.13885 0.16519 0.7007 0 0
0.11667 0.16815 0.7017 0 0
0.10221 0.16938 0.7027 0 0
0.096997 0.16866 0.7037 0 0
0.10181 0.16596 0.7047 0 0
0.11666 0.16145 0.70571 0 0
0.14072 0.15543 0.70671 0 0
0.17244 0.14831 0.70771 0 0
0.20961 0.1405 0.70871 0 0
0.24961 0.13239 0.70971 0 0
0.2896 0.12431 0.71071 0 0
0.32681 0.11648 0.71171 0 0
0.35874 0.10902 0.71271 0 0
0.38343 0.10194 0.71371 0 0
0.3996 0.095183 0.71471 0 0
0.40674 0.088633 0.71572 0 0
0.40515 0.082188 0.71672 0 0
0.39589 0.075787 0.71772 0 0
0.38065 0.069454 0.71872 0 0
0.36152 0.063331 0.71972 0 0
0.34084 0.057687 0.72072 0 0
0.32091 0.052926 0.72172 0 0
0.30378 0.049555 0.72272 0 0
0.29109 0.048158 0.72372 0 0
0.28388 0.049336 0.72472 0 0
0.28259 0.053649 0.72573 0 0
0.287 0.06155 0.72673 0 0
0.29632 0.073317 0.72773 0 0
0.30934 0.089005 0.72873 0 0
0.32456 0.10841 0.72973 0 0
0.34036 0.13104 0.73073 0 0
0.35522 0.15615 0.73173 0 0
0.36784 0.18276 0.73273 0 0
0.37727 0.20974 0.73373 0 0
0.38295 0.23587 0.73473 0 0
0.38476 0.25996 0.73574 0 0
0.38293 0.28096 0.73674 0 0
0.37801 0.29804 0.73774 0 0
0.37068 0.31072 0.73874 0 0
0.36172 0.31889 0.73974 0 0
0.3518 0.32286 0.74074 0 0
0.34147 0.32333 0.74174 0 0
0.331 0.32138 0.74274 0 0
0.32047 0.31834 0.74374 0 0
0.30969 0.31568 0.74474 0 0
0.29834 0.31486 0.74575 0 0
0.28599 0.31719 0.74675 0 0
0.27226 0.32369 0.74775 0 0
0.25689 0.33494 0.74875 0 0
0.23984 0.35103 0.74975 0 0
0.22134 0.37149 0.75075 0 0
0.20188 0.39533 0.75175 0 0
0.18227 0.42109 0.75275 0 0
0.16348 0.44696 0.75375 0 0
0.14662 0.47095 0.75475 0 0
0.13278 0.49103 0.75576 0 0
0.12294 0.50538 0.75676 0 0
0.11782 0.5125 0.75776 0 0
0.11784 0.51138 0.75876 0 0
0.12299 0.50161 0.75976 0 0
0.13292 0.48341 0.76076 0 0
0.14687 0.4576 0.76176 0 0
0.16383 0.42557 0.76276 0 0
0.18256 0.38912 0.76376 0 0
0.20182 0.35029 0.76476 0 0
0.2204 0.31124 0.76577 0 0
0.23734 0.27401 0.76677 0 0
0.25193 0.24038 0.76777 0 0
0.26387 0.21176 0.76877 0 0
0.2732 0.18906 0.76977 0 0
0.28033 0.17268 0.77077 0 0
0.28595 0.16256 0.77177 0 0
0.29091 0.15817 0.77277 0 0
0.29613 0.15867 0.77377 0 0
0.30244 0.16302 0.77477 0 0
0.31049 0.17011 0.77578 0 0
0.32062 0.17885 0.77678 0 0
0.3328 0.18832 0.77778 0 0
0.34667 0.1978 0.77878 0 0
0.3615 0.20683 0.77978 0 0
0.37632 0.21518 0.78078 0 0
0.38996 0.22282 0.78178 0 0
0.40125 0.22985 0.78278 0 0
0.40912 0.23646 0.78378 0 0
0.4127 0.2428 0.78478 0 0
0.41146 0.24895 0.78579 0 0
0.40528 0.25488 0.78679 0 0
0.39443 0.26038 0.78779 0 0
0.37958 0.26515 0.78879 0 0
0.36174 0.26876 0.78979 0 0
0.34211 0.27074 0.79079 0 0
0.32202 0.27066 0.79179 0 0
0.30277 0.26817 0.79279 0 0
0.28548 0.26308 0.79379 0 0
0.27103 0.25542 0.79479 0 0
0.25995 0.24543 0.7958 0 0
0.25245 0.23357 0.7968 0 0
0.24836 0.22051 0.7978 0 0
0.24724 0.20705 0.7988 0 0
0.2485 0.19404 0.7998 0 0
0.25142 0.18234 0.8008 0 0
0.25537 0.17269 0.8018 0 0
0.25988 0.16569 0.8028 0 0
0.26473 0.16171 0.8038 0 0
0.26999 0.16087 0.8048 0 0
0.27608 0.16306 0.80581 0 0
0.28365 0.16791 0.80681 0 0
0.29357 0.17486 0.80781 0 0
0.30678 0.18321 0.80881 0 0
0.32413 0.19219 0.80981 0 0
0.34628 0.20102 0.81081 0 0
0.37351 0.20899 0.81181 0 0
0.40568 0.21548 0.81281 0 0
0.4421 0.22007 0.81381 0 0
0.48161 0.22248 0.81481 0 0
0.52253 0.22263 0.81582 0 0
0.56286 0.22062 0.81682 0 0
0.60037 0.21672 0.81782 0 0
0.63283 0.2113 0.81882 0 0
0.65816 0.20481 0.81982 0 0
0.67466 0.19774 0.82082 0 0
0.68115 0.19057 0.82182 0 0
0.67709 0.18373 0.82282 0 0
